Year,State,Area,FClass,VMT
2023,Massachusetts,Rural,Major Collector,708909830
2023,Massachusetts,Rural,Minor Collector,258217060
2023,Massachusetts,Rural,Local,539640460
2023,Massachusetts,Urban,Interstate,15995049800
2023,Massachusetts,Urban,Other Freeways and Expressways,6105440770
2023,Massachusetts,Urban,Other Principal Arterial,11701179050
2023,Massachusetts,Urban,Minor Arterial,11481906260
2023,Massachusetts,Urban,Major Collector,4219063650
2023,Massachusetts,Urban,Minor Collector,0
2023,Massachusetts,Urban,Local,8122954190
2023,Michigan,Rural,Interstate,5567324930
2023,Michigan,Rural,Other Freeways and Expressways,2806097500
2023,Michigan,Rural,Other Principal Arterial,4510984930
2023,Michigan,Rural,Minor Arterial,7091683370
2023,Michigan,Rural,Major Collector,8094896610
2023,Michigan,Rural,Minor Collector,894523390
2023,Michigan,Rural,Local,2437379120
2023,Michigan,Urban,Interstate,16457018730
2023,Michigan,Urban,Other Freeways and Expressways,6059284920
2023,Michigan,Urban,Other Principal Arterial,16377216800
2023,Michigan,Urban,Minor Arterial,15322339500
2023,Michigan,Urban,Major Collector,4872013810
2023,Michigan,Urban,Minor Collector,102139170
2023,Michigan,Urban,Local,7695876080
2023,Minnesota,Rural,Interstate,3718591760
2023,Minnesota,Rural,Other Freeways and Expressways,236598760
2023,Minnesota,Rural,Other Principal Arterial,6694078060
2023,Minnesota,Rural,Minor Arterial,4789020200
2023,Minnesota,Rural,Major Collector,4123717610
2023,Minnesota,Rural,Minor Collector,1274580730
2023,Minnesota,Rural,Local,2735889990
2023,Minnesota,Urban,Interstate,8976659210
2023,Minnesota,Urban,Other Freeways and Expressways,4311155370
2023,Minnesota,Urban,Other Principal Arterial,4480671960
2023,Minnesota,Urban,Minor Arterial,8526191030
2023,Minnesota,Urban,Major Collector,3250349810
2023,Minnesota,Urban,Minor Collector,983452290
2023,Minnesota,Urban,Local,3945164550
2023,Mississippi,Rural,Interstate,5031496200
2023,Mississippi,Rural,Other Freeways and Expressways,0
2023,Mississippi,Rural,Other Principal Arterial,5602863200
2023,Mississippi,Rural,Minor Arterial,3609001180
2023,Mississippi,Rural,Major Collector,3806693380
2023,Mississippi,Rural,Minor Collector,401001050
2023,Mississippi,Rural,Local,5830153400
2023,Mississippi,Urban,Interstate,4254448110
2023,Mississippi,Urban,Other Freeways and Expressways,538007970
2023,Mississippi,Urban,Other Principal Arterial,4977212790
2023,Mississippi,Urban,Minor Arterial,2574914630
2023,Mississippi,Urban,Major Collector,1762490300
2023,Mississippi,Urban,Minor Collector,5627270
2023,Mississippi,Urban,Local,2550444440
2023,Missouri,Rural,Interstate,8108197040
2023,Missouri,Rural,Other Freeways and Expressways,5418948750
2023,Missouri,Rural,Other Principal Arterial,3293390810
2023,Missouri,Rural,Minor Arterial,3732914470
2023,Missouri,Rural,Major Collector,5546214370
2023,Missouri,Rural,Minor Collector,713428270
2023,Missouri,Rural,Local,9555355080
2023,Missouri,Urban,Interstate,14393442070
2023,Missouri,Urban,Other Freeways and Expressways,6058833060
2023,Missouri,Urban,Other Principal Arterial,5545100020
2023,Missouri,Urban,Minor Arterial,6420003440
2023,Missouri,Urban,Major Collector,3360600110
2023,Missouri,Urban,Minor Collector,325194100
2023,Missouri,Urban,Local,8353729090
2023,Montana,Rural,Interstate,2913712660
2023,Montana,Rural,Other Freeways and Expressways,0
2023,Montana,Rural,Other Principal Arterial,2858438950
2023,Montana,Rural,Minor Arterial,1217393590
2023,Montana,Rural,Major Collector,929571420
2023,Montana,Rural,Minor Collector,479958940
2023,Montana,Rural,Local,1289639540
2023,Montana,Urban,Interstate,595530810
2023,Montana,Urban,Other Freeways and Expressways,0
2023,Montana,Urban,Other Principal Arterial,1252752510
2023,Montana,Urban,Minor Arterial,619013000
2023,Montana,Urban,Major Collector,426522920
2023,Montana,Urban,Minor Collector,20934710
2023,Montana,Urban,Local,1096392110
2023,Nebraska,Rural,Interstate,3095979040
2023,Nebraska,Rural,Other Freeways and Expressways,1054175670
2023,Nebraska,Rural,Other Principal Arterial,2121399170
2023,Nebraska,Rural,Minor Arterial,2403251320
2023,Nebraska,Rural,Major Collector,1508766740
2023,Nebraska,Rural,Minor Collector,278019040
2023,Nebraska,Rural,Local,1166526860
2023,Nebraska,Urban,Interstate,1714680830
2023,Nebraska,Urban,Other Freeways and Expressways,1319318550
2023,Nebraska,Urban,Other Principal Arterial,2015287170
2023,Nebraska,Urban,Minor Arterial,2506422500
2023,Nebraska,Urban,Major Collector,670095870
2023,Nebraska,Urban,Minor Collector,37834130
2023,Nebraska,Urban,Local,1382810530
2023,Nevada,Rural,Interstate,2464385230
2023,Nevada,Rural,Other Freeways and Expressways,0
2023,Nevada,Rural,Other Principal Arterial,1862054870
2023,Nevada,Rural,Minor Arterial,476031530
2023,Nevada,Rural,Major Collector,425274980
2023,Nevada,Rural,Minor Collector,155321010
2023,Nevada,Rural,Local,475684060
2023,Nevada,Urban,Interstate,4517079870
2023,Nevada,Urban,Other Freeways and Expressways,1848168250
2023,Nevada,Urban,Other Principal Arterial,3385893640
2023,Nevada,Urban,Minor Arterial,5131989550
2023,Nevada,Urban,Major Collector,50615140
2023,Nevada,Urban,Minor Collector,2137540260
