State,Interstate,Junction,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
West Virginia,Interstate,Other,2,3,1,3,2,4,1,1,2,1,2,22
West Virginia,Interstate,Total,43,31,27,39,28,38,26,26,35,32,23,348
West Virginia,Non-Interstate,Junction,34,27,27,31,38,32,28,32,30,22,33,334
West Virginia,Non-Interstate,Non-Junction,219,168,184,172,202,179,181,178,188,192,169,2032
West Virginia,Non-Interstate,Other,9,16,7,7,9,13,5,6,6,4,7,89
West Virginia,Non-Interstate,Unknown,0,0,1,0,0,3,1,0,0,0,1,6
West Virginia,Non-Interstate,Total,262,211,219,210,249,227,215,216,224,218,210,2461
West Virginia,Unknown,Junction,0,0,0,0,0,0,1,1,0,0,0,2
West Virginia,Unknown,Non-Junction,0,0,0,1,3,0,5,6,0,0,0,15
West Virginia,Unknown,Total,0,0,0,1,3,0,6,7,0,0,0,17
West Virginia,Total,Junction,34,27,27,31,38,32,29,34,30,22,33,337
West Virginia,Total,Non-Junction,260,196,210,209,231,213,211,208,221,223,190,2372
West Virginia,Total,Other,11,19,8,10,11,17,6,7,8,5,9,111
West Virginia,Total,Unknown,0,0,1,0,0,3,1,0,0,0,1,6
West Virginia,Total,Total,305,242,246,250,280,265,247,249,259,250,233,2826
Wisconsin,Interstate,Junction,0,0,0,0,0,0,0,1,2,0,2,5
Wisconsin,Interstate,Non-Junction,17,15,26,27,28,32,35,29,44,45,30,328
Wisconsin,Interstate,Other,10,8,8,10,11,16,9,2,6,11,7,98
Wisconsin,Interstate,Total,27,23,34,37,39,48,44,32,52,56,39,431
Wisconsin,Non-Interstate,Junction,120,133,139,151,162,122,131,152,162,153,166,1591
Wisconsin,Non-Interstate,Non-Junction,315,276,315,321,331,325,316,349,336,317,294,3495
Wisconsin,Non-Interstate,Other,42,26,34,29,23,33,30,22,20,30,27,316
Wisconsin,Non-Interstate,Unknown,0,0,0,0,0,0,0,1,0,0,1,2
Wisconsin,Non-Interstate,Total,477,435,488,501,516,480,477,524,518,500,488,5404
Wisconsin,Unknown,Junction,1,0,0,1,0,0,0,0,0,0,1,3
Wisconsin,Unknown,Non-Junction,2,1,0,3,1,3,5,3,2,0,1,21
Wisconsin,Unknown,Other,0,0,1,2,1,0,1,0,0,0,1,6
